activity_datetime,user_id,unit_id,unit_type,day_completion_percentage,overall_completion_percentage
2022-02-05 12:21:49,user_5,unit_1,LEARNING_SET,100,100
2022-02-05 13:37:52,user_5,unit_2,LEARNING_SET,100,100
2022-02-06 12:41:58,user_5,unit_3,ASSIGNMENT,100,100
2022-02-06 21:31:47,user_5,unit_4,LEARNING_SET,100,100
2022-02-06 22:13:47,user_5,unit_5,LEARNING_SET,100,150
2022-02-06 11:13:47,user_5,unit_5,LEARNING_SET,50,50
2022-02-06 22:36:15,user_5,unit_6,ASSIGNMENT,100,100
2022-02-06 23:32:08,user_5,unit_7,LEARNING_SET,30,30
2022-02-07 9:45:07,user_5,unit_7,LEARNING_SET,70,100
2022-02-05 14:55:52,user_21,unit_1,LEARNING_SET,100,100
2022-02-05 14:55:52,user_21,unit_8,LEARNING_SET,100,100
2022-02-05 14:55:52,user_21,unit_9,LEARNING_SET,100,100
2022-02-05 16:37:03,user_21,unit_2,LEARNING_SET,100,100
2022-02-05 17:26:33,user_21,unit_3,ASSIGNMENT,100,100
2022-02-05 17:29:45,user_21,unit_4,LEARNING_SET,100,100
2022-02-05 22:37:45,user_21,unit_5,LEARNING_SET,100,100
2022-02-08 22:51:13,user_5,unit_10,LEARNING_SET,100,100
2022-02-05 23:03:07,user_21,unit_6,ASSIGNMENT,100,100
2022-02-06 8:15:04,user_21,unit_10,LEARNING_SET,100,100
2022-02-06 12:59:47,user_21,unit_7,LEARNING_SET,100,100
2022-02-06 13:32:35,user_21,unit_11,LEARNING_SET,100,100
2022-02-09 13:34:36,user_5,unit_11,LEARNING_SET,100,100
2022-02-06 18:28:54,user_21,unit_12,LEARNING_SET,100,100
2022-02-06 19:45:52,user_21,unit_13,LEARNING_SET,100,100
2022-02-06 19:54:50,user_21,unit_14,LEARNING_SET,5,5
2022-02-09 22:03:32,user_5,unit_12,LEARNING_SET,100,100
2022-02-07 19:13:41,user_21,unit_14,LEARNING_SET,95,100
2022-02-10 22:02:10,user_5,unit_14,LEARNING_SET,100,100
2022-02-11 9:11:51,user_5,unit_15,LEARNING_SET,100,100
2022-02-11 9:52:57,user_5,unit_16,LEARNING_SET,100,100
2022-02-11 11:14:30,user_5,unit_8,LEARNING_SET,100,100
2022-02-11 11:58:43,user_5,unit_13,LEARNING_SET,100,100
2022-02-11 12:17:46,user_5,unit_9,LEARNING_SET,100,100
2022-02-08 19:33:25,user_21,unit_15,LEARNING_SET,100,100
2022-02-11 21:36:57,user_5,unit_17,LEARNING_SET,100,100
2022-02-11 22:23:53,user_5,unit_18,LEARNING_SET,50,50
2022-02-09 20:12:00,user_21,unit_19,LEARNING_SET,100,100
2022-02-12 20:31:16,user_5,unit_20,EXAM,100,100
2022-02-12 20:33:11,user_5,unit_21,EXAM,100,100
2022-02-12 20:33:56,user_5,unit_22,LEARNING_SET,100,100
2022-02-12 20:39:03,user_5,unit_23,EXAM,100,100
2022-02-12 22:21:28,user_5,unit_18,LEARNING_SET,50,100
2022-02-13 9:23:31,user_5,unit_19,LEARNING_SET,100,100
2022-02-10 22:44:03,user_21,unit_16,LEARNING_SET,5,5
2022-02-14 11:54:16,user_5,unit_24,LEARNING_SET,5,5
2022-02-11 20:16:38,user_21,unit_16,LEARNING_SET,95,100
2022-02-12 8:04:20,user_21,unit_24,LEARNING_SET,5,5
2022-02-16 8:13:05,user_5,unit_24,LEARNING_SET,95,100
2022-02-16 10:59:33,user_5,unit_25,LEARNING_SET,100,100
2022-02-16 11:02:55,user_5,unit_26,PRACTICE,100,100
2022-02-16 11:12:09,user_5,unit_27,PRACTICE,100,100
2022-02-16 18:06:04,user_5,unit_28,LEARNING_SET,100,100
2022-02-14 7:03:29,user_21,unit_24,LEARNING_SET,95,100
2022-02-17 22:20:33,user_5,unit_29,LEARNING_SET,100,100
2022-02-17 22:26:22,user_5,unit_30,PRACTICE,100,100
2022-02-19 18:35:56,user_5,unit_31,LEARNING_SET,20,20
2022-02-17 6:32:49,user_21,unit_26,PRACTICE,100,100
2022-02-17 7:25:05,user_21,unit_17,LEARNING_SET,100,100
2022-02-22 12:10:46,user_5,unit_31,LEARNING_SET,80,100
2022-02-22 18:00:39,user_5,unit_32,LEARNING_SET,5,5
2022-02-23 8:03:42,user_5,unit_32,LEARNING_SET,25,30
2022-02-24 11:34:58,user_5,unit_33,PRACTICE,100,100
2022-02-24 13:12:38,user_5,unit_34,LEARNING_SET,100,100
2022-02-21 17:55:20,user_21,unit_28,LEARNING_SET,100,100
2022-02-21 19:49:15,user_21,unit_18,LEARNING_SET,100,100
2022-02-21 19:55:41,user_21,unit_35,LEARNING_SET,10,100
2022-02-21 20:22:47,user_21,unit_27,PRACTICE,100,100
2022-02-22 7:44:42,user_21,unit_36,LEARNING_SET,100,100
2022-02-22 7:54:36,user_21,unit_30,PRACTICE,100,100
2022-02-22 8:10:36,user_21,unit_33,PRACTICE,100,100
2022-02-22 19:26:34,user_21,unit_31,LEARNING_SET,100,100
2022-02-27 12:53:05,user_5,unit_32,LEARNING_SET,10,40
2022-02-25 15:34:10,user_21,unit_37,PRACTICE,100,100
2022-02-25 16:03:40,user_21,unit_32,LEARNING_SET,100,100
2022-02-26 15:36:56,user_21,unit_38,LEARNING_SET,40,40
2022-03-02 16:23:33,user_5,unit_32,LEARNING_SET,60,100
2022-03-02 19:05:31,user_5,unit_38,LEARNING_SET,5,5
2022-03-02 20:33:24,user_5,unit_39,LEARNING_SET,100,100
2022-03-02 20:46:31,user_5,unit_40,PRACTICE,100,100
2022-02-28 4:44:18,user_21,unit_38,LEARNING_SET,60,100
2022-02-28 5:47:37,user_21,unit_41,PRACTICE,100,100
2022-03-03 9:27:24,user_5,unit_37,PRACTICE,100,100
2022-02-28 10:21:05,user_21,unit_42,LEARNING_SET,20,20
2022-03-01 5:20:23,user_21,unit_43,LEARNING_SET,150,150
2022-03-01 5:47:53,user_21,unit_44,PRACTICE,100,100
2022-03-01 5:48:45,user_21,unit_45,LEARNING_SET,5,5
2022-03-04 10:14:40,user_5,unit_38,LEARNING_SET,95,100
2022-03-04 11:29:17,user_5,unit_43,LEARNING_SET,5,5
2022-03-04 13:50:55,user_5,unit_46,LEARNING_SET,100,100
2022-03-02 11:13:47,user_21,unit_45,LEARNING_SET,5,10
2022-03-05 12:14:09,user_5,unit_41,PRACTICE,100,100
2022-03-07 11:29:26,user_5,unit_43,LEARNING_SET,15,70
2022-03-08 19:56:11,user_5,unit_43,LEARNING_SET,30,100
2022-03-06 5:43:21,user_21,unit_45,LEARNING_SET,90,100
2022-03-07 9:41:06,user_21,unit_47,LEARNING_SET,10,100
2022-03-06 23:44:08,user_5,unit_43,LEARNING_SET,50,55
2022-03-05 1:59:46,user_5,unit_44,PRACTICE,100,100
2022-02-25 2:18:03,user_5,unit_45,LEARNING_SET,100,100
2022-03-06 17:38:33,user_5,unit_48,LEARNING_SET,100,100
2022-03-03 4:35:53,user_5,unit_49,QUESTION_SET,100,100
2022-03-08 6:25:53,user_5,unit_47,LEARNING_SET,100,100
2022-02-04 20:26:26,user_5,unit_50,LEARNING_SET,100,100
2022-02-22 20:35:30,user_5,unit_51,PRACTICE,100,100
2022-03-01 22:33:46,user_5,unit_52,LEARNING_SET,100,100
2022-02-09 0:33:04,user_5,unit_53,LEARNING_SET,100,100
2022-02-28 0:43:38,user_5,unit_54,PRACTICE,100,100
2022-02-18 4:12:31,user_5,unit_55,LEARNING_SET,60,60
2022-02-17 22:20:10,user_5,unit_56,QUESTION_SET,100,100
2022-02-16 22:45:00,user_5,unit_57,QUESTION_SET,100,100
2022-02-11 23:06:08,user_5,unit_58,QUESTION_SET,100,100
2022-02-20 0:24:55,user_5,unit_55,LEARNING_SET,40,100
2022-02-07 2:22:23,user_5,unit_59,LEARNING_SET,100,100
2022-02-10 2:32:40,user_5,unit_60,PRACTICE,100,100
2022-02-21 2:39:28,user_5,unit_61,LEARNING_SET,10,100
2022-02-15 22:25:05,user_5,unit_61,LEARNING_SET,90,90
2022-03-04 23:12:05,user_5,unit_62,LEARNING_SET,100,100
2022-03-02 23:24:36,user_5,unit_63,PRACTICE,100,100
2022-02-06 21:35:55,user_5,unit_64,LEARNING_SET,100,100
2022-02-23 22:08:28,user_5,unit_65,LEARNING_SET,100,100
2022-03-10 10:17:39,user_5,unit_66,LEARNING_SET,100,100
2022-02-26 0:12:56,user_5,unit_67,PRACTICE,100,100
2022-02-03 2:46:52,user_5,unit_36,LEARNING_SET,50,50
2022-03-07 4:24:04,user_5,unit_68,QUESTION_SET,100,100
2022-02-24 11:14:42,user_5,unit_69,QUESTION_SET,50,100
2022-01-12 1:44:22,user_21,unit_47,LEARNING_SET,90,90
2022-02-13 13:02:55,user_5,unit_69,QUESTION_SET,50,50
2022-02-05 14:12:43,user_5,unit_70,QUESTION_SET,50,50
2022-02-14 1:08:11,user_5,unit_70,QUESTION_SET,50,100
2022-02-19 4:37:18,user_5,unit_36,LEARNING_SET,50,100
2022-02-23 1:59:18,user_21,unit_51,PRACTICE,100,100
2022-03-02 2:20:51,user_21,unit_52,LEARNING_SET,60,70
2022-02-12 4:10:06,user_5,unit_71,LEARNING_SET,100,100
2022-02-08 4:19:17,user_5,unit_72,PRACTICE,100,100
2022-03-09 9:42:45,user_5,unit_73,LEARNING_SET,5,100
2022-01-29 5:14:50,user_21,unit_52,LEARNING_SET,10,10
2022-02-27 21:43:12,user_5,unit_73,LEARNING_SET,95,95
2022-03-02 0:32:32,user_5,unit_74,LEARNING_SET,100,100
2022-02-04 0:42:41,user_5,unit_75,PRACTICE,100,100
2022-02-03 22:03:00,user_5,unit_76,LEARNING_SET,5,5
2022-02-07 2:39:35,user_21,unit_77,LEARNING_SET,10,10
2022-02-08 4:53:47,user_5,unit_76,LEARNING_SET,95,100
2022-03-06 12:54:05,user_5,unit_78,PRACTICE,100,100
2022-03-09 4:32:36,user_21,unit_52,LEARNING_SET,30,100
2022-02-21 4:46:33,user_21,unit_54,PRACTICE,100,100
2022-02-17 1:35:50,user_5,unit_79,QUESTION_SET,100,100
2022-03-03 5:47:38,user_5,unit_80,QUESTION_SET,100,100
2022-02-16 12:22:57,user_5,unit_81,QUESTION_SET,100,100
2022-03-07 3:04:47,user_5,unit_82,LEARNING_SET,100,100
2022-02-24 3:07:32,user_5,unit_83,LEARNING_SET,100,100
2022-03-04 3:16:17,user_5,unit_84,PRACTICE,100,100
2022-03-10 4:35:29,user_5,unit_85,LEARNING_SET,100,100
2022-02-12 4:40:33,user_5,unit_86,LEARNING_SET,100,100
2022-02-15 3:54:36,user_5,unit_87,QUESTION_SET,100,100
2022-02-26 4:57:41,user_5,unit_88,QUESTION_SET,100,100
2022-02-23 11:56:02,user_5,unit_77,LEARNING_SET,100,100
2022-03-05 11:56:21,user_5,unit_89,LEARNING_SET,100,100
2022-02-07 11:57:02,user_5,unit_90,LEARNING_SET,100,100
2022-03-08 0:00:40,user_5,unit_91,QUESTION_SET,100,100
2022-02-28 0:29:06,user_5,unit_92,EXAM,100,100
2022-02-19 23:24:47,user_5,unit_93,EXAM,100,100
2022-02-10 23:32:10,user_5,unit_94,EXAM,100,100
2022-02-02 23:48:08,user_5,unit_95,EXAM,100,100
2022-02-18 10:37:18,user_5,unit_96,LEARNING_SET,5,5
2022-02-14 10:03:39,user_5,unit_97,EXAM,100,100
2022-02-09 1:02:54,user_5,unit_98,QUESTION_SET,100,100
2022-03-01 2:12:27,user_5,unit_99,QUESTION_SET,100,100
2022-02-11 5:11:19,user_5,unit_100,QUESTION_SET,100,100
2022-02-21 12:38:40,user_5,unit_101,EXAM,100,100
2022-02-06 1:54:04,user_5,unit_102,EXAM,100,100
2022-02-05 6:49:15,user_5,unit_103,LEARNING_SET,100,100
2022-03-09 6:59:23,user_5,unit_104,PRACTICE,100,100
2022-02-13 7:11:36,user_5,unit_105,QUESTION_SET,100,100
2022-02-20 10:38:05,user_5,unit_96,LEARNING_SET,95,100
2022-02-27 10:43:21,user_5,unit_106,LEARNING_SET,100,100
2022-02-25 10:54:22,user_5,unit_107,PRACTICE,100,100
2022-02-22 13:01:27,user_5,unit_108,LEARNING_SET,100,100
2022-02-16 13:09:23,user_5,unit_109,LEARNING_SET,100,100
2022-02-24 13:22:24,user_5,unit_110,PRACTICE,100,100
2022-03-09 1:41:19,user_5,unit_111,QUESTION_SET,100,100
2022-02-11 1:53:06,user_5,unit_112,QUESTION_SET,100,100
2022-02-17 7:46:54,user_5,unit_113,LEARNING_SET,100,100
2022-03-04 13:36:15,user_5,unit_114,LEARNING_SET,100,100
2022-02-08 13:43:36,user_5,unit_115,PRACTICE,100,100
2022-02-03 14:56:59,user_5,unit_116,LEARNING_SET,100,100
2022-02-07 15:00:06,user_5,unit_117,LEARNING_SET,100,100
2022-02-05 15:08:19,user_5,unit_118,PRACTICE,100,100
2022-02-09 3:09:20,user_5,unit_119,QUESTION_SET,75,75
2022-02-05 18:56:07,user_49,unit_120,LEARNING_SET,100,100
2022-02-06 18:50:49,user_49,unit_19,LEARNING_SET,100,100
2022-02-07 11:35:41,user_49,unit_26,PRACTICE,100,100
2022-02-07 18:39:19,user_49,unit_24,LEARNING_SET,100,100
2022-02-07 18:53:45,user_49,unit_27,PRACTICE,100,100
2022-02-07 19:01:54,user_49,unit_25,LEARNING_SET,100,100
2022-03-06 9:44:11,user_5,unit_121,LEARNING_SET,12.5,12.5
2022-02-08 19:16:57,user_49,unit_28,LEARNING_SET,100,100
2022-02-08 19:29:19,user_49,unit_30,PRACTICE,100,100
2022-02-08 21:03:34,user_49,unit_29,LEARNING_SET,100,100
2022-02-09 10:29:07,user_49,unit_33,PRACTICE,100,100
2022-02-09 18:34:11,user_49,unit_31,LEARNING_SET,100,100
2022-02-09 18:48:19,user_49,unit_37,PRACTICE,100,100
2022-02-09 18:57:31,user_49,unit_34,LEARNING_SET,100,100
2022-02-12 18:44:19,user_49,unit_32,LEARNING_SET,100,100
2022-02-12 19:14:30,user_49,unit_39,LEARNING_SET,100,100
2022-02-12 19:20:45,user_49,unit_40,PRACTICE,100,100
2022-02-22 7:52:39,user_5,unit_119,QUESTION_SET,25,100
2022-02-13 18:47:24,user_49,unit_38,LEARNING_SET,100,100
2022-02-13 18:54:47,user_49,unit_46,LEARNING_SET,100,100
2022-02-13 19:01:56,user_49,unit_41,PRACTICE,100,100
2022-02-26 10:55:33,user_5,unit_122,LEARNING_SET,100,100
2022-02-21 11:05:32,user_5,unit_123,QUESTION_SET,100,100
2022-02-25 12:51:30,user_5,unit_124,LEARNING_SET,100,100
2022-02-14 22:07:40,user_5,unit_125,PRACTICE,100,100
2022-03-01 8:13:03,user_5,unit_126,QUESTION_SET,100,100
2022-02-14 18:43:17,user_49,unit_43,LEARNING_SET,100,100
2022-02-14 18:48:11,user_49,unit_48,LEARNING_SET,100,100
2022-02-12 8:49:30,user_5,unit_127,LEARNING_SET,100,100
2022-02-14 19:01:22,user_49,unit_44,PRACTICE,100,100
2022-03-03 9:24:07,user_5,unit_128,LEARNING_SET,100,100
2022-02-28 9:38:34,user_5,unit_129,PRACTICE,100,100
2022-02-19 11:40:29,user_5,unit_130,LEARNING_SET,100,100
2022-03-10 10:17:21,user_5,unit_131,LEARNING_SET,100,100
2022-03-05 12:29:27,user_5,unit_132,PRACTICE,100,100
2022-02-02 14:05:06,user_5,unit_133,LEARNING_SET,100,100
2022-02-04 14:32:25,user_5,unit_134,LEARNING_SET,100,100
2022-02-15 14:44:40,user_5,unit_135,PRACTICE,100,100
2022-02-27 1:41:08,user_5,unit_136,LEARNING_SET,5,100
2022-02-13 2:27:39,user_5,unit_137,QUESTION_SET,100,100
2022-02-20 3:18:34,user_5,unit_138,QUESTION_SET,100,100
2022-02-15 18:27:04,user_49,unit_45,LEARNING_SET,100,100
2022-02-15 19:14:11,user_49,unit_49,QUESTION_SET,100,100
2022-02-18 12:26:20,user_5,unit_139,QUESTION_SET,100,100
2022-03-07 12:47:18,user_5,unit_140,QUESTION_SET,100,100
2022-02-16 18:55:44,user_49,unit_4,LEARNING_SET,100,100
2022-02-10 6:27:25,user_5,unit_136,LEARNING_SET,95,95
2022-03-08 6:28:37,user_5,unit_141,LEARNING_SET,100,100
2022-02-23 6:37:17,user_5,unit_142,PRACTICE,100,100
2022-02-06 12:58:11,user_5,unit_143,LEARNING_SET,100,100
2022-03-02 13:32:02,user_5,unit_144,LEARNING_SET,100,100
