feedback_id,feedback_submission_datetime,user_id,discussion_id,rating
fd_dis_1,2022-01-18 16:53:46,user_25,dis_47,3
fd_dis_2,2022-01-19 19:24:09,user_25,dis_48,5
fd_dis_3,2022-02-01 12:24:00,user_4,dis_2,5
fd_dis_4,2022-02-17 18:36:12,user_7,dis_60,5
fd_dis_5,2022-02-16 21:12:58,user_7,dis_61,5
fd_dis_6,2022-02-23 15:18:43,user_50,dis_21,5
fd_dis_7,2021-11-21 2:31:53,user_50,dis_24,5
fd_dis_8,2022-02-23 14:48:20,user_50,dis_23,5
fd_dis_9,2022-02-24 18:05:39,user_23,dis_55,5
fd_dis_10,2022-02-24 22:53:39,user_23,dis_56,5
fd_dis_11,2022-02-07 3:10:27,user_25,dis_57,5
fd_dis_12,2022-02-01 19:36:00,user_4,dis_8,100
fd_dis_13,2022-03-01 5:38:42,user_7,dis_66,5
fd_dis_14,2021-11-22 12:44:54,user_49,dis_67,5
fd_dis_15,2021-10-14 23:00:00,user_49,dis_13,4
fd_dis_16,2022-02-26 12:24:20,user_50,dis_22,90
fd_dis_17,2022-02-07 13:20:42,user_27,dis_70,5
fd_dis_18,2022-03-05 16:05:31,user_7,dis_71,5
fd_dis_19,2022-02-02 19:36:00,user_5,dis_5,5
fd_dis_20,2022-02-14 23:11:12,user_36,dis_72,5
fd_dis_21,2022-02-26 23:04:25,user_27,dis_73,5
fd_dis_22,2022-01-21 9:44:51,user_24,dis_74,5
fd_dis_23,2022-02-06 4:54:41,user_13,dis_75,5
fd_dis_24,2022-02-22 16:05:42,user_44,dis_76,5
fd_dis_25,2022-01-15 6:04:03,user_16,dis_30,5
fd_dis_26,2021-11-16 21:48:50,user_49,dis_35,5
fd_dis_27,2021-10-16 3:48:00,user_49,dis_16,
